product_id,product_name,category,unit_cost,selling_price,safety_stock
P00233,Noise Cancelling Headphones 233,Electronics,808.12,1048.48,28
P00234,Bed Frame 234,Furniture,392.11,719.76,16
P00235,Wooden Desk 235,Furniture,2476.55,3623.44,34
P00236,Noise Cancelling Headphones 236,Electronics,349.55,557.05,28
P00237,Pain Relief Gel 237,Pharmacy,80.86,102.37,53
P00238,USB-C Charger 238,Electronics,422.42,640.12,57
P00239,Noise Cancelling Headphones 239,Electronics,256.82,313.57,46
P00240,Black Tea 240,Grocery,15.17,18.85,299
P00241,Basmati Rice 241,Grocery,9.59,11.19,257
P00242,Antiseptic Spray 242,Pharmacy,48.51,86.27,57
P00243,Novel 243,Books,28.45,41.67,86
P00244,Black Tea 244,Grocery,7.12,8.15,132
P00245,Tennis Racket 245,Sports,202.83,348.5,38
P00246,Study Manual 246,Books,10.45,19.03,113
P00247,Coffee Table 247,Furniture,1404.2,2698.4,23
P00248,Stapler 248,Office Supplies,33.1,55.11,130
P00249,Water Bottle 249,Sports,339.25,529.91,29
P00250,Stapler 250,Office Supplies,7.24,12.42,73
P00251,Cereal Box 251,Grocery,15.15,18.36,133
P00252,Smart Watch 252,Electronics,627.82,894.41,41
P00253,Pasta Pack 253,Grocery,8.81,12.0,292
P00254,Wireless Mouse 254,Electronics,971.56,1399.21,42
P00255,Office Chair 255,Furniture,633.24,1036.95,37
P00256,Football 256,Sports,425.78,663.06,68
P00257,Bed Frame 257,Furniture,2460.22,4653.77,34
P00258,Wireless Mouse 258,Electronics,648.1,948.26,37
P00259,Hoodie 259,Clothing,51.89,117.4,83
P00260,Wireless Mouse 260,Electronics,263.27,331.01,45
P00261,Casual Shirt 261,Clothing,115.03,284.33,51
P00262,Coffee Table 262,Furniture,1253.34,2027.34,15
P00263,Allergy Pills 263,Pharmacy,73.55,122.54,122
P00264,Cereal Box 264,Grocery,17.78,20.39,293
P00265,Laptop Stand 265,Electronics,706.57,924.79,47
P00266,Notebook Pack 266,Office Supplies,34.31,48.3,181
P00267,Gym Gloves 267,Sports,226.36,339.15,63
P00268,Stapler 268,Office Supplies,43.1,62.68,106
P00269,Bluetooth Speaker 269,Electronics,106.92,141.2,33
P00270,First Aid Kit 270,Pharmacy,32.5,41.34,113
P00271,Notebook 271,Books,14.66,23.87,120
P00272,Tennis Racket 272,Sports,54.6,103.92,22
P00273,Noise Cancelling Headphones 273,Electronics,513.78,632.54,40
P00274,Programming Guide 274,Books,36.54,66.71,83
P00275,Cereal Box 275,Grocery,8.7,12.09,143
P00276,Stapler 276,Office Supplies,66.9,117.74,72
P00277,Basmati Rice 277,Grocery,5.62,7.17,234
P00278,Programming Guide 278,Books,52.88,97.69,58
P00279,Winter Jacket 279,Clothing,25.31,53.99,107
P00280,Storage Cabinet 280,Furniture,2736.58,4226.82,33
P00281,Denim Jeans 281,Clothing,46.9,77.22,65
P00282,Casual Shirt 282,Clothing,117.63,253.55,62
P00283,Stapler 283,Office Supplies,38.19,60.41,198
P00284,Tennis Racket 284,Sports,434.84,756.21,29
P00285,Cereal Box 285,Grocery,9.91,12.78,170
P00286,Laptop Stand 286,Electronics,416.75,512.47,49
P00287,Smart Watch 287,Electronics,151.2,231.74,24
P00288,Cereal Box 288,Grocery,12.69,15.89,218
P00289,USB-C Charger 289,Electronics,504.76,769.22,32
P00290,Notebook Pack 290,Office Supplies,41.11,73.13,165
P00291,Dumbbell Set 291,Sports,491.55,668.03,61
P00292,Noise Cancelling Headphones 292,Electronics,322.97,444.12,48
P00293,Running Shorts 293,Clothing,64.13,155.06,89
P00294,Water Bottle 294,Sports,345.87,462.31,60
P00295,Tennis Racket 295,Sports,51.64,70.55,63
P00296,Pain Relief Gel 296,Pharmacy,28.94,49.51,127
P00297,Football 297,Sports,59.12,104.32,78
P00298,Pain Relief Gel 298,Pharmacy,96.93,156.94,100
P00299,Olive Oil 299,Grocery,6.88,8.35,184
P00300,Basmati Rice 300,Grocery,13.27,16.28,192
P00301,Tennis Racket 301,Sports,168.26,330.77,41
P00302,Coffee Table 302,Furniture,834.32,1164.96,12
P00303,Cereal Box 303,Grocery,10.65,13.44,289
P00304,Bluetooth Speaker 304,Electronics,695.74,1078.78,59
P00305,Children's Story 305,Books,13.48,20.33,118
P00306,Casual Shirt 306,Clothing,112.36,173.45,86
P00307,Storage Cabinet 307,Furniture,2914.85,5035.16,34
P00308,Ballpoint Pens 308,Office Supplies,20.25,28.75,170
P00309,Tennis Racket 309,Sports,345.59,587.26,48
P00310,Pain Relief Gel 310,Pharmacy,78.92,118.52,103
P00311,Office Chair 311,Furniture,2443.53,3413.32,18
P00312,Sticky Notes 312,Office Supplies,70.18,110.69,76
P00313,Pasta Pack 313,Grocery,6.42,8.53,169
P00314,Running Shorts 314,Clothing,127.19,202.45,68
P00315,Gym Gloves 315,Sports,466.63,742.14,45
P00316,Dumbbell Set 316,Sports,133.17,265.83,43
P00317,Bluetooth Speaker 317,Electronics,386.82,479.51,41
P00318,Casual Shirt 318,Clothing,20.17,48.76,100
P00319,Cotton T-Shirt 319,Clothing,117.44,231.25,118
P00320,Cereal Box 320,Grocery,1.36,1.58,138
P00321,Novel 321,Books,11.12,17.49,68
P00322,Laptop Stand 322,Electronics,314.6,457.93,59
P00323,Cereal Box 323,Grocery,3.11,4.27,252
P00324,USB-C Charger 324,Electronics,668.76,956.34,29
P00325,Business Book 325,Books,5.09,8.2,103
P00326,Cotton T-Shirt 326,Clothing,104.69,166.0,86
P00327,Laptop Stand 327,Electronics,451.41,626.58,60
P00328,Yoga Mat 328,Sports,141.75,185.89,70
P00329,Gym Gloves 329,Sports,135.74,238.9,26
P00330,Water Bottle 330,Sports,84.04,129.98,41
P00331,Casual Shirt 331,Clothing,127.1,277.67,101
P00332,Cotton T-Shirt 332,Clothing,124.55,194.68,98
P00333,Cough Syrup 333,Pharmacy,24.15,40.44,55
P00334,Antiseptic Spray 334,Pharmacy,53.96,96.78,119
P00335,Cough Syrup 335,Pharmacy,8.48,13.47,86
P00336,USB-C Charger 336,Electronics,879.22,1171.8,27
P00337,Programming Guide 337,Books,53.92,99.54,79
P00338,Hoodie 338,Clothing,81.99,163.78,106
P00339,Olive Oil 339,Grocery,14.81,16.64,254
P00340,Cough Syrup 340,Pharmacy,35.52,44.33,134
P00341,First Aid Kit 341,Pharmacy,47.36,77.23,71
P00342,Desk Organizer 342,Office Supplies,29.42,38.87,140
P00343,Novel 343,Books,20.1,39.96,37
P00344,Notebook 344,Books,24.98,46.98,116
P00345,Wireless Mouse 345,Electronics,228.5,329.73,48
P00346,Hoodie 346,Clothing,24.08,54.87,86
P00347,Study Manual 347,Books,57.22,81.22,49
P00348,Desk Organizer 348,Office Supplies,76.01,112.95,69
P00349,Denim Jeans 349,Clothing,86.48,164.14,75
P00350,Pasta Pack 350,Grocery,1.49,1.72,232
P00351,Olive Oil 351,Grocery,5.97,7.03,214
P00352,Vitamin C Tablets 352,Pharmacy,70.93,127.62,75
P00353,Cotton T-Shirt 353,Clothing,130.13,254.02,96
P00354,Gym Gloves 354,Sports,340.56,611.88,55
P00355,First Aid Kit 355,Pharmacy,89.68,153.43,141
P00356,Denim Jeans 356,Clothing,122.15,245.37,55
P00357,Winter Jacket 357,Clothing,46.96,93.64,86
P00358,Gym Gloves 358,Sports,244.35,485.79,28
P00359,Tomato Sauce 359,Grocery,2.25,2.74,283
P00360,Notebook Pack 360,Office Supplies,43.0,72.44,197
P00361,Running Shorts 361,Clothing,146.27,313.36,97
P00362,Water Bottle 362,Sports,81.6,153.44,55
P00363,Cotton T-Shirt 363,Clothing,118.65,193.28,104
P00364,Black Tea 364,Grocery,10.84,12.91,141
P00365,Coffee Table 365,Furniture,1168.86,2289.37,38
P00366,Black Tea 366,Grocery,5.76,7.43,241
P00367,Winter Jacket 367,Clothing,99.38,210.13,51
P00368,Casual Shirt 368,Clothing,94.89,197.43,61
P00369,Yoga Mat 369,Sports,424.41,719.18,72
P00370,Black Tea 370,Grocery,1.86,2.4,247
P00371,Office Chair 371,Furniture,2347.49,3736.29,30
P00372,Stapler 372,Office Supplies,71.34,112.2,127
P00373,Bookshelf 373,Furniture,2453.13,4365.33,19
P00374,Pasta Pack 374,Grocery,14.08,16.16,206
P00375,Sticky Notes 375,Office Supplies,17.91,28.72,130
P00376,Dumbbell Set 376,Sports,372.42,708.55,45
P00377,Tennis Racket 377,Sports,267.19,367.21,35
P00378,Basmati Rice 378,Grocery,6.08,7.14,124
P00379,Pain Relief Gel 379,Pharmacy,94.81,162.93,103
P00380,Denim Jeans 380,Clothing,124.82,303.78,80
P00381,Hoodie 381,Clothing,82.27,165.75,103
P00382,Stapler 382,Office Supplies,3.81,6.75,179
P00383,Coffee Table 383,Furniture,802.4,1241.33,11
P00384,Printer Paper 384,Office Supplies,48.61,83.68,170
P00385,Smart Watch 385,Electronics,862.46,1183.62,36
P00386,Yoga Mat 386,Sports,386.65,601.69,45
P00387,Bed Frame 387,Furniture,1215.07,1825.06,22
P00388,Ballpoint Pens 388,Office Supplies,61.62,88.72,80
P00389,Cereal Box 389,Grocery,8.48,11.35,186
P00390,Tennis Racket 390,Sports,382.38,550.38,52
P00391,Laptop Stand 391,Electronics,140.77,176.64,41
P00392,Printer Paper 392,Office Supplies,13.62,23.79,85
P00393,Football 393,Sports,98.0,195.36,67
P00394,Water Bottle 394,Sports,263.51,436.58,51
P00395,First Aid Kit 395,Pharmacy,50.11,60.63,92
P00396,Tomato Sauce 396,Grocery,19.62,25.02,285
P00397,Noise Cancelling Headphones 397,Electronics,637.22,832.34,57
P00398,Bed Frame 398,Furniture,2219.92,3792.66,15
P00399,Children's Story 399,Books,13.13,23.74,34
P00400,Olive Oil 400,Grocery,4.62,5.69,207
P00401,Business Book 401,Books,42.98,70.75,108
P00402,USB-C Charger 402,Electronics,735.2,1034.77,55
P00403,Stapler 403,Office Supplies,42.99,62.63,94
P00404,Water Bottle 404,Sports,282.21,500.39,75
P00405,Cough Syrup 405,Pharmacy,62.96,82.81,81
P00406,Cough Syrup 406,Pharmacy,26.36,47.02,88
P00407,Coffee Table 407,Furniture,2132.67,3502.49,25
P00408,Antiseptic Spray 408,Pharmacy,32.34,49.94,119
P00409,Programming Guide 409,Books,50.01,98.66,48
P00410,Laptop Stand 410,Electronics,358.87,533.16,42
P00411,Cough Syrup 411,Pharmacy,76.0,100.96,118
P00412,Pain Relief Gel 412,Pharmacy,18.04,28.31,125
P00413,Storage Cabinet 413,Furniture,342.14,661.57,17
P00414,Bookshelf 414,Furniture,346.98,551.46,32
P00415,Olive Oil 415,Grocery,13.94,15.91,240
P00416,Business Book 416,Books,40.91,78.89,90
P00417,Storage Cabinet 417,Furniture,2316.55,3477.31,19
P00418,Bluetooth Speaker 418,Electronics,917.14,1133.39,56
P00419,Wireless Mouse 419,Electronics,921.91,1170.85,31
P00420,Novel 420,Books,48.34,73.08,67
P00421,USB-C Charger 421,Electronics,368.55,531.12,41
P00422,Ballpoint Pens 422,Office Supplies,79.15,124.4,176
P00423,Ballpoint Pens 423,Office Supplies,23.28,39.68,134
P00424,Sticky Notes 424,Office Supplies,52.57,87.23,53
P00425,Dumbbell Set 425,Sports,399.57,678.25,68
P00426,Running Shorts 426,Clothing,97.48,208.48,91
P00427,Dumbbell Set 427,Sports,61.63,108.99,31
P00428,Stapler 428,Office Supplies,27.24,38.79,116
P00429,Coffee Table 429,Furniture,1450.86,2157.28,20
P00430,Wireless Mouse 430,Electronics,335.4,450.72,35
P00431,Cereal Box 431,Grocery,9.84,11.3,275
P00432,Cough Syrup 432,Pharmacy,70.58,111.74,87
P00433,Bookshelf 433,Furniture,813.56,1133.69,14
P00434,Gym Gloves 434,Sports,219.61,369.93,50
P00435,Office Chair 435,Furniture,2333.21,4144.34,29
P00436,Notebook Pack 436,Office Supplies,43.2,63.97,194
P00437,Noise Cancelling Headphones 437,Electronics,845.9,1320.58,32
P00438,Cotton T-Shirt 438,Clothing,37.21,87.61,96
P00439,Bed Frame 439,Furniture,2207.37,3624.9,38
P00440,Stapler 440,Office Supplies,65.08,99.36,181
P00441,Sticky Notes 441,Office Supplies,45.99,72.64,128
P00442,Noise Cancelling Headphones 442,Electronics,456.35,696.66,33
P00443,Cereal Box 443,Grocery,1.86,2.24,116
P00444,Wireless Mouse 444,Electronics,941.12,1155.33,50
P00445,First Aid Kit 445,Pharmacy,43.84,72.84,148
P00446,Business Book 446,Books,25.6,49.53,87
P00447,Notebook 447,Books,9.41,18.62,99
P00448,Gym Gloves 448,Sports,76.94,153.49,45
P00449,Cotton T-Shirt 449,Clothing,113.26,195.11,40
P00450,Allergy Pills 450,Pharmacy,48.99,79.93,104
P00451,Notebook 451,Books,50.28,77.86,74
P00452,Vitamin C Tablets 452,Pharmacy,22.91,39.52,147
P00453,Bluetooth Speaker 453,Electronics,828.53,1133.18,21
P00454,Bed Frame 454,Furniture,388.41,666.42,24
P00455,Bluetooth Speaker 455,Electronics,320.26,389.98,48
P00456,Bed Frame 456,Furniture,2312.28,4262.1,14
P00457,Cough Syrup 457,Pharmacy,27.25,47.68,123
P00458,Gym Gloves 458,Sports,133.71,255.84,62
P00459,Bed Frame 459,Furniture,1357.97,2026.92,27
P00460,Cotton T-Shirt 460,Clothing,99.51,191.78,103
P00461,Gym Gloves 461,Sports,471.96,835.34,70
P00462,Tennis Racket 462,Sports,354.23,561.73,39
P00463,Hoodie 463,Clothing,116.85,230.61,68
P00464,Running Shorts 464,Clothing,123.78,298.9,111
P00465,Programming Guide 465,Books,35.65,52.78,61
P00466,Coffee Table 466,Furniture,1124.74,1524.42,24
P00467,Black Tea 467,Grocery,11.18,15.08,113
P00468,Notebook 468,Books,42.05,74.08,39
P00469,Coffee Table 469,Furniture,1542.3,2943.68,20
P00470,Smart Watch 470,Electronics,290.63,370.85,27
P00471,Stapler 471,Office Supplies,73.33,120.83,102
P00472,Bookshelf 472,Furniture,1745.82,3217.3,22
P00473,Tennis Racket 473,Sports,168.04,260.76,76
P00474,Printer Paper 474,Office Supplies,9.69,17.35,170
P00475,Wooden Desk 475,Furniture,1237.97,1968.06,28
P00476,Winter Jacket 476,Clothing,17.19,35.3,114
P00477,Business Book 477,Books,21.24,32.24,59
