inventory_id,product_id,product_name,category,supplier_id,supplier_name,warehouse,current_stock,reorder_point,max_stock
INV000035,P00035,Storage Cabinet 035,Furniture,S00010,WoodCraft Ltd,WH-05,58,31,186
INV000036,P00036,Dumbbell Set 036,Sports,S00018,SportMax,WH-02,67,27,162
INV000037,P00037,Wooden Desk 037,Furniture,S00012,WoodCraft Ltd,WH-04,90,27,162
INV000038,P00038,Wooden Desk 038,Furniture,S00012,WoodCraft Ltd,WH-02,40,11,66
INV000039,P00039,Cereal Box 039,Grocery,S00005,Daily Grocers,WH-02,189,118,708
INV000040,P00040,Wooden Desk 040,Furniture,S00012,WoodCraft Ltd,WH-05,98,27,162
INV000041,P00041,Ballpoint Pens 041,Office Supplies,S00023,Business Essentials,WH-05,536,154,924
INV000042,P00042,Pasta Pack 042,Grocery,S00005,Daily Grocers,WH-04,805,208,1248
INV000043,P00043,Notebook Pack 043,Office Supplies,S00023,Business Essentials,WH-02,131,75,450
INV000044,P00044,Notebook 044,Books,S00021,Global Books,WH-01,169,43,258
INV000045,P00045,Wooden Desk 045,Furniture,S00010,WoodCraft Ltd,WH-02,37,23,138
INV000046,P00046,Antiseptic Spray 046,Pharmacy,S00015,PharmaCare Inc,WH-04,99,59,354
INV000047,P00047,Basmati Rice 047,Grocery,S00006,Daily Grocers,WH-04,135,103,618
INV000048,P00048,Bookshelf 048,Furniture,S00011,Modern Furniture Co,WH-04,54,16,96
INV000049,P00049,USB-C Charger 049,Electronics,S00003,Smart Devices Inc,WH-05,108,44,264
INV000050,P00050,Sticky Notes 050,Office Supplies,S00022,Paper & Pens Co,WH-05,309,192,1152
INV000051,P00051,Desk Organizer 051,Office Supplies,S00023,Business Essentials,WH-03,228,64,384
INV000052,P00052,Laptop Stand 052,Electronics,S00001,Smart Devices Inc,WH-04,132,57,342
INV000053,P00053,Cotton T-Shirt 053,Clothing,S00007,Cotton World,WH-01,179,63,378
INV000054,P00054,Cereal Box 054,Grocery,S00006,Daily Grocers,WH-03,498,130,780
INV000055,P00055,Bookshelf 055,Furniture,S00012,WoodCraft Ltd,WH-05,23,12,72
INV000056,P00056,Football 056,Sports,S00016,Active Gear,WH-03,225,65,390
INV000057,P00057,Coffee Table 057,Furniture,S00012,WoodCraft Ltd,WH-05,94,30,180
INV000058,P00058,Notebook Pack 058,Office Supplies,S00022,Paper & Pens Co,WH-03,107,68,408
INV000059,P00059,Notebook Pack 059,Office Supplies,S00022,Paper & Pens Co,WH-05,213,75,450
INV000060,P00060,Office Chair 060,Furniture,S00010,WoodCraft Ltd,WH-04,62,21,126
INV000061,P00061,Bed Frame 061,Furniture,S00010,WoodCraft Ltd,WH-03,50,36,216
INV000062,P00062,Allergy Pills 062,Pharmacy,S00014,PharmaCare Inc,WH-01,255,133,798
INV000063,P00063,Bluetooth Speaker 063,Electronics,S00001,Smart Devices Inc,WH-01,98,26,156
INV000064,P00064,Pain Relief Gel 064,Pharmacy,S00013,MediSource,WH-01,368,120,720
INV000065,P00065,Pain Relief Gel 065,Pharmacy,S00015,PharmaCare Inc,WH-02,157,93,558
INV000066,P00066,Vitamin C Tablets 066,Pharmacy,S00015,PharmaCare Inc,WH-05,177,56,336
INV000067,P00067,Notebook 067,Books,S00019,Global Books,WH-05,139,72,432
INV000068,P00068,Antiseptic Spray 068,Pharmacy,S00015,PharmaCare Inc,WH-02,356,140,840
INV000069,P00069,Noise Cancelling Headphones 069,Electronics,S00003,Smart Devices Inc,WH-03,54,29,174
INV000070,P00070,Laptop Stand 070,Electronics,S00002,TechSource Ltd,WH-03,114,29,174
INV000071,P00071,Hoodie 071,Clothing,S00008,Cotton World,WH-04,177,45,270
INV000072,P00072,Bed Frame 072,Furniture,S00010,WoodCraft Ltd,WH-02,52,21,126
INV000073,P00073,Notebook 073,Books,S00019,Global Books,WH-01,146,60,360
INV000074,P00074,Running Shorts 074,Clothing,S00009,Cotton World,WH-02,223,82,492
INV000075,P00075,Bookshelf 075,Furniture,S00012,WoodCraft Ltd,WH-01,27,13,78
INV000076,P00076,USB-C Charger 076,Electronics,S00001,Smart Devices Inc,WH-02,64,49,294
INV000077,P00077,Vitamin C Tablets 077,Pharmacy,S00013,MediSource,WH-01,309,78,468
INV000078,P00078,Coffee Table 078,Furniture,S00011,Modern Furniture Co,WH-05,16,12,72
INV000079,P00079,Gym Gloves 079,Sports,S00016,Active Gear,WH-04,144,73,438
INV000080,P00080,Dumbbell Set 080,Sports,S00016,Active Gear,WH-02,105,36,216
INV000081,P00081,First Aid Kit 081,Pharmacy,S00015,PharmaCare Inc,WH-02,336,94,564
INV000082,P00082,Tennis Racket 082,Sports,S00017,SportMax,WH-02,79,27,162
INV000083,P00083,Bed Frame 083,Furniture,S00010,WoodCraft Ltd,WH-04,13,10,60
INV000084,P00084,Coffee Table 084,Furniture,S00011,Modern Furniture Co,WH-04,85,31,186
INV000085,P00085,Football 085,Sports,S00017,SportMax,WH-01,298,77,462
INV000086,P00086,Cough Syrup 086,Pharmacy,S00015,PharmaCare Inc,WH-01,473,139,834
INV000087,P00087,Casual Shirt 087,Clothing,S00007,Cotton World,WH-03,294,88,528
INV000088,P00088,Cotton T-Shirt 088,Clothing,S00007,Cotton World,WH-02,237,110,660
INV000089,P00089,Allergy Pills 089,Pharmacy,S00013,MediSource,WH-04,398,124,744
INV000090,P00090,Gym Gloves 090,Sports,S00016,Active Gear,WH-02,87,33,198
INV000091,P00091,Sticky Notes 091,Office Supplies,S00023,Business Essentials,WH-02,329,93,558
INV000092,P00092,Black Tea 092,Grocery,S00004,Fresh Foods Co,WH-05,711,258,1548
INV000093,P00093,Black Tea 093,Grocery,S00004,Fresh Foods Co,WH-05,323,272,1632
INV000094,P00094,Wooden Desk 094,Furniture,S00010,WoodCraft Ltd,WH-02,16,11,66
INV000095,P00095,Stapler 095,Office Supplies,S00022,Paper & Pens Co,WH-04,374,166,996
INV000096,P00096,Wooden Desk 096,Furniture,S00011,Modern Furniture Co,WH-04,49,22,132
INV000097,P00097,Running Shorts 097,Clothing,S00007,Cotton World,WH-04,95,53,318
INV000098,P00098,Bookshelf 098,Furniture,S00010,WoodCraft Ltd,WH-03,75,26,156
INV000099,P00099,Laptop Stand 099,Electronics,S00002,TechSource Ltd,WH-04,63,27,162
INV000100,P00100,Winter Jacket 100,Clothing,S00009,Cotton World,WH-04,395,111,666
INV000101,P00101,Water Bottle 101,Sports,S00016,Active Gear,WH-03,107,59,354
INV000102,P00102,Study Manual 102,Books,S00019,Global Books,WH-05,64,50,300
INV000103,P00103,Desk Organizer 103,Office Supplies,S00024,Office World,WH-01,397,120,720
INV000104,P00104,Sticky Notes 104,Office Supplies,S00024,Office World,WH-01,149,69,414
INV000105,P00105,Vitamin C Tablets 105,Pharmacy,S00013,MediSource,WH-04,418,119,714
INV000106,P00106,Casual Shirt 106,Clothing,S00009,Cotton World,WH-02,194,59,354
INV000107,P00107,Bookshelf 107,Furniture,S00010,WoodCraft Ltd,WH-01,92,27,162
INV000108,P00108,Children's Story 108,Books,S00019,Global Books,WH-05,96,79,474
INV000109,P00109,Laptop Stand 109,Electronics,S00001,Smart Devices Inc,WH-04,104,44,264
INV000110,P00110,Laptop Stand 110,Electronics,S00001,Smart Devices Inc,WH-05,107,44,264
INV000111,P00111,Office Chair 111,Furniture,S00012,WoodCraft Ltd,WH-05,30,25,150
INV000112,P00112,Study Manual 112,Books,S00019,Global Books,WH-05,188,81,486
INV000113,P00113,Winter Jacket 113,Clothing,S00009,Cotton World,WH-03,386,119,714
INV000114,P00114,Wireless Mouse 114,Electronics,S00002,TechSource Ltd,WH-03,47,21,126
INV000115,P00115,Programming Guide 115,Books,S00019,Global Books,WH-04,69,36,216
INV000116,P00116,Business Book 116,Books,S00019,Global Books,WH-03,244,73,438
INV000117,P00117,Vitamin C Tablets 117,Pharmacy,S00014,PharmaCare Inc,WH-01,162,82,492
INV000118,P00118,Ballpoint Pens 118,Office Supplies,S00022,Paper & Pens Co,WH-05,373,139,834
INV000119,P00119,Basmati Rice 119,Grocery,S00006,Daily Grocers,WH-01,395,293,1758
INV000120,P00120,Wooden Desk 120,Furniture,S00012,WoodCraft Ltd,WH-05,27,14,84
INV000121,P00121,Running Shorts 121,Clothing,S00008,Cotton World,WH-03,100,67,402
INV000122,P00122,First Aid Kit 122,Pharmacy,S00013,MediSource,WH-03,252,127,762
INV000123,P00123,Basmati Rice 123,Grocery,S00005,Daily Grocers,WH-04,340,179,1074
INV000124,P00124,Laptop Stand 124,Electronics,S00003,Smart Devices Inc,WH-05,121,44,264
INV000125,P00125,Wooden Desk 125,Furniture,S00012,WoodCraft Ltd,WH-01,97,30,180
INV000126,P00126,Cereal Box 126,Grocery,S00006,Daily Grocers,WH-03,842,275,1650
INV000127,P00127,Black Tea 127,Grocery,S00006,Daily Grocers,WH-02,163,110,660
INV000128,P00128,Programming Guide 128,Books,S00020,Knowledge House,WH-01,171,112,672
INV000129,P00129,Laptop Stand 129,Electronics,S00003,Smart Devices Inc,WH-02,96,26,156
INV000130,P00130,Dumbbell Set 130,Sports,S00017,SportMax,WH-05,137,65,390
INV000131,P00131,Programming Guide 131,Books,S00019,Global Books,WH-02,288,113,678
INV000132,P00132,Printer Paper 132,Office Supplies,S00024,Office World,WH-03,442,118,708
INV000133,P00133,Bookshelf 133,Furniture,S00012,WoodCraft Ltd,WH-03,100,38,228
INV000134,P00134,Bookshelf 134,Furniture,S00010,WoodCraft Ltd,WH-04,42,31,186
INV000135,P00135,Tennis Racket 135,Sports,S00017,SportMax,WH-01,36,31,186
INV000136,P00136,Bed Frame 136,Furniture,S00011,Modern Furniture Co,WH-02,67,18,108
INV000137,P00137,Vitamin C Tablets 137,Pharmacy,S00015,PharmaCare Inc,WH-02,141,74,444
INV000138,P00138,Wooden Desk 138,Furniture,S00012,WoodCraft Ltd,WH-05,90,34,204
INV000139,P00139,Notebook Pack 139,Office Supplies,S00024,Office World,WH-05,163,54,324
INV000140,P00140,First Aid Kit 140,Pharmacy,S00013,MediSource,WH-01,146,89,534
INV000141,P00141,Water Bottle 141,Sports,S00018,SportMax,WH-05,85,47,282
INV000142,P00142,Football 142,Sports,S00016,Active Gear,WH-03,145,39,234
INV000143,P00143,Storage Cabinet 143,Furniture,S00012,WoodCraft Ltd,WH-02,48,13,78
INV000144,P00144,Casual Shirt 144,Clothing,S00008,Cotton World,WH-01,107,75,450
INV000145,P00145,Pain Relief Gel 145,Pharmacy,S00014,PharmaCare Inc,WH-01,273,87,522
INV000146,P00146,Dumbbell Set 146,Sports,S00017,SportMax,WH-02,107,54,324
INV000147,P00147,First Aid Kit 147,Pharmacy,S00015,PharmaCare Inc,WH-03,139,87,522
INV000148,P00148,Cotton T-Shirt 148,Clothing,S00009,Cotton World,WH-05,157,53,318
INV000149,P00149,Vitamin C Tablets 149,Pharmacy,S00015,PharmaCare Inc,WH-02,112,73,438
INV000150,P00150,Antiseptic Spray 150,Pharmacy,S00013,MediSource,WH-04,103,58,348
INV000151,P00151,Ballpoint Pens 151,Office Supplies,S00022,Paper & Pens Co,WH-03,108,63,378
INV000152,P00152,Denim Jeans 152,Clothing,S00008,Cotton World,WH-03,113,50,300
INV000153,P00153,Cereal Box 153,Grocery,S00004,Fresh Foods Co,WH-01,970,252,1512
INV000154,P00154,Bookshelf 154,Furniture,S00011,Modern Furniture Co,WH-01,150,39,234
INV000155,P00155,Allergy Pills 155,Pharmacy,S00014,PharmaCare Inc,WH-02,202,89,534
INV000156,P00156,Smart Watch 156,Electronics,S00002,TechSource Ltd,WH-03,77,33,198
INV000157,P00157,Wooden Desk 157,Furniture,S00010,WoodCraft Ltd,WH-01,31,17,102
INV000158,P00158,Cereal Box 158,Grocery,S00006,Daily Grocers,WH-04,473,276,1656
INV000159,P00159,Sticky Notes 159,Office Supplies,S00023,Business Essentials,WH-01,264,122,732
INV000160,P00160,Sticky Notes 160,Office Supplies,S00023,Business Essentials,WH-05,296,117,702
INV000161,P00161,Wooden Desk 161,Furniture,S00011,Modern Furniture Co,WH-05,116,30,180
INV000162,P00162,Cough Syrup 162,Pharmacy,S00014,PharmaCare Inc,WH-01,78,71,426
INV000163,P00163,First Aid Kit 163,Pharmacy,S00014,PharmaCare Inc,WH-05,179,88,528
INV000164,P00164,Business Book 164,Books,S00020,Knowledge House,WH-01,112,93,558
INV000165,P00165,Black Tea 165,Grocery,S00006,Daily Grocers,WH-03,732,288,1728
INV000166,P00166,Allergy Pills 166,Pharmacy,S00015,PharmaCare Inc,WH-03,538,136,816
INV000167,P00167,Noise Cancelling Headphones 167,Electronics,S00002,TechSource Ltd,WH-05,114,37,222
INV000168,P00168,Smart Watch 168,Electronics,S00001,Smart Devices Inc,WH-05,151,53,318
INV000169,P00169,Stapler 169,Office Supplies,S00022,Paper & Pens Co,WH-01,459,199,1194
INV000170,P00170,Printer Paper 170,Office Supplies,S00024,Office World,WH-01,377,154,924
INV000171,P00171,Tennis Racket 171,Sports,S00018,SportMax,WH-05,159,41,246
INV000172,P00172,Notebook Pack 172,Office Supplies,S00024,Office World,WH-03,391,190,1140
INV000173,P00173,Stapler 173,Office Supplies,S00023,Business Essentials,WH-03,96,79,474
INV000174,P00174,Wireless Mouse 174,Electronics,S00003,Smart Devices Inc,WH-01,126,46,276
INV000175,P00175,Storage Cabinet 175,Furniture,S00012,WoodCraft Ltd,WH-05,63,25,150
INV000176,P00176,Ballpoint Pens 176,Office Supplies,S00023,Business Essentials,WH-03,608,190,1140
INV000177,P00177,Vitamin C Tablets 177,Pharmacy,S00014,PharmaCare Inc,WH-03,243,65,390
INV000178,P00178,Bed Frame 178,Furniture,S00012,WoodCraft Ltd,WH-02,14,10,60
INV000179,P00179,Business Book 179,Books,S00020,Knowledge House,WH-02,141,44,264
INV000180,P00180,Black Tea 180,Grocery,S00006,Daily Grocers,WH-03,865,283,1698
INV000181,P00181,Pain Relief Gel 181,Pharmacy,S00014,PharmaCare Inc,WH-01,390,110,660
INV000182,P00182,Sticky Notes 182,Office Supplies,S00023,Business Essentials,WH-02,473,180,1080
INV000183,P00183,Hoodie 183,Clothing,S00008,Cotton World,WH-04,257,93,558
INV000184,P00184,Allergy Pills 184,Pharmacy,S00014,PharmaCare Inc,WH-02,314,88,528
INV000185,P00185,Printer Paper 185,Office Supplies,S00024,Office World,WH-02,657,173,1038
INV000186,P00186,Football 186,Sports,S00018,SportMax,WH-03,70,49,294
INV000187,P00187,Wooden Desk 187,Furniture,S00012,WoodCraft Ltd,WH-01,64,22,132
INV000188,P00188,Business Book 188,Books,S00019,Global Books,WH-03,464,120,720
INV000189,P00189,Notebook 189,Books,S00019,Global Books,WH-02,214,113,678
INV000190,P00190,Notebook Pack 190,Office Supplies,S00022,Paper & Pens Co,WH-02,157,134,804
INV000191,P00191,Sticky Notes 191,Office Supplies,S00023,Business Essentials,WH-01,209,53,318
INV000192,P00192,Cotton T-Shirt 192,Clothing,S00008,Cotton World,WH-05,165,59,354
INV000193,P00193,Sticky Notes 193,Office Supplies,S00022,Paper & Pens Co,WH-04,518,151,906
INV000194,P00194,Pasta Pack 194,Grocery,S00005,Daily Grocers,WH-02,645,236,1416
INV000195,P00195,Gym Gloves 195,Sports,S00016,Active Gear,WH-01,52,51,306
INV000196,P00196,Bluetooth Speaker 196,Electronics,S00002,TechSource Ltd,WH-02,66,38,228
INV000197,P00197,Tomato Sauce 197,Grocery,S00006,Daily Grocers,WH-04,792,262,1572
INV000198,P00198,Basmati Rice 198,Grocery,S00004,Fresh Foods Co,WH-02,392,107,642
INV000199,P00199,Tennis Racket 199,Sports,S00016,Active Gear,WH-02,159,43,258
INV000200,P00200,Denim Jeans 200,Clothing,S00008,Cotton World,WH-05,233,63,378
INV000201,P00201,Casual Shirt 201,Clothing,S00009,Cotton World,WH-03,423,119,714
INV000202,P00202,Bookshelf 202,Furniture,S00011,Modern Furniture Co,WH-05,56,17,102
INV000203,P00203,Cough Syrup 203,Pharmacy,S00014,PharmaCare Inc,WH-04,389,109,654
INV000204,P00204,Hoodie 204,Clothing,S00007,Cotton World,WH-04,358,115,690
INV000205,P00205,Notebook 205,Books,S00020,Knowledge House,WH-02,260,68,408
INV000206,P00206,Children's Story 206,Books,S00021,Global Books,WH-05,148,78,468
INV000207,P00207,Yoga Mat 207,Sports,S00017,SportMax,WH-02,118,38,228
INV000208,P00208,Study Manual 208,Books,S00020,Knowledge House,WH-01,342,117,702
INV000209,P00209,Bluetooth Speaker 209,Electronics,S00003,Smart Devices Inc,WH-02,74,38,228
INV000210,P00210,Water Bottle 210,Sports,S00017,SportMax,WH-03,78,36,216
INV000211,P00211,Hoodie 211,Clothing,S00009,Cotton World,WH-02,65,45,270
INV000212,P00212,Notebook Pack 212,Office Supplies,S00022,Paper & Pens Co,WH-04,142,83,498
INV000213,P00213,Pain Relief Gel 213,Pharmacy,S00015,PharmaCare Inc,WH-02,114,75,450
INV000214,P00214,Dumbbell Set 214,Sports,S00016,Active Gear,WH-04,179,73,438
INV000215,P00215,First Aid Kit 215,Pharmacy,S00014,PharmaCare Inc,WH-04,325,87,522
INV000216,P00216,Dumbbell Set 216,Sports,S00016,Active Gear,WH-04,50,24,144
INV000217,P00217,Bed Frame 217,Furniture,S00011,Modern Furniture Co,WH-05,24,22,132
INV000218,P00218,Gym Gloves 218,Sports,S00017,SportMax,WH-01,97,36,216
INV000219,P00219,Black Tea 219,Grocery,S00005,Daily Grocers,WH-04,577,272,1632
INV000220,P00220,Study Manual 220,Books,S00020,Knowledge House,WH-04,99,43,258
INV000221,P00221,Bed Frame 221,Furniture,S00010,WoodCraft Ltd,WH-04,74,40,240
INV000222,P00222,Water Bottle 222,Sports,S00017,SportMax,WH-04,27,24,144
INV000223,P00223,Notebook Pack 223,Office Supplies,S00023,Business Essentials,WH-04,496,154,924
INV000224,P00224,Cotton T-Shirt 224,Clothing,S00009,Cotton World,WH-04,187,103,618
INV000225,P00225,Pasta Pack 225,Grocery,S00004,Fresh Foods Co,WH-01,745,199,1194
INV000226,P00226,Gym Gloves 226,Sports,S00017,SportMax,WH-05,231,80,480
INV000227,P00227,Study Manual 227,Books,S00021,Global Books,WH-01,89,83,498
INV000228,P00228,Basmati Rice 228,Grocery,S00006,Daily Grocers,WH-02,609,171,1026
INV000229,P00229,Football 229,Sports,S00017,SportMax,WH-01,58,35,210
INV000230,P00230,Black Tea 230,Grocery,S00005,Daily Grocers,WH-03,653,265,1590
INV000231,P00231,Laptop Stand 231,Electronics,S00001,Smart Devices Inc,WH-03,85,27,162
INV000232,P00232,Basmati Rice 232,Grocery,S00005,Daily Grocers,WH-03,640,252,1512
INV000233,P00233,Noise Cancelling Headphones 233,Electronics,S00002,TechSource Ltd,WH-01,60,28,168
INV000234,P00234,Bed Frame 234,Furniture,S00011,Modern Furniture Co,WH-05,17,16,96
INV000235,P00235,Wooden Desk 235,Furniture,S00010,WoodCraft Ltd,WH-02,78,34,204
INV000236,P00236,Noise Cancelling Headphones 236,Electronics,S00003,Smart Devices Inc,WH-01,36,28,168
INV000237,P00237,Pain Relief Gel 237,Pharmacy,S00013,MediSource,WH-02,116,53,318
INV000238,P00238,USB-C Charger 238,Electronics,S00001,Smart Devices Inc,WH-02,216,57,342
INV000239,P00239,Noise Cancelling Headphones 239,Electronics,S00001,Smart Devices Inc,WH-04,78,46,276
INV000240,P00240,Black Tea 240,Grocery,S00006,Daily Grocers,WH-05,416,299,1794
INV000241,P00241,Basmati Rice 241,Grocery,S00004,Fresh Foods Co,WH-03,733,257,1542
INV000242,P00242,Antiseptic Spray 242,Pharmacy,S00014,PharmaCare Inc,WH-05,99,57,342
INV000243,P00243,Novel 243,Books,S00021,Global Books,WH-02,144,86,516
INV000244,P00244,Black Tea 244,Grocery,S00005,Daily Grocers,WH-05,187,132,792
INV000245,P00245,Tennis Racket 245,Sports,S00016,Active Gear,WH-05,77,38,228
INV000246,P00246,Study Manual 246,Books,S00021,Global Books,WH-04,305,113,678
INV000247,P00247,Coffee Table 247,Furniture,S00012,WoodCraft Ltd,WH-01,48,23,138
INV000248,P00248,Stapler 248,Office Supplies,S00024,Office World,WH-02,483,130,780
INV000249,P00249,Water Bottle 249,Sports,S00016,Active Gear,WH-05,67,29,174
INV000250,P00250,Stapler 250,Office Supplies,S00022,Paper & Pens Co,WH-05,276,73,438
INV000251,P00251,Cereal Box 251,Grocery,S00004,Fresh Foods Co,WH-05,310,133,798
INV000252,P00252,Smart Watch 252,Electronics,S00002,TechSource Ltd,WH-03,125,41,246
INV000253,P00253,Pasta Pack 253,Grocery,S00004,Fresh Foods Co,WH-03,810,292,1752
INV000254,P00254,Wireless Mouse 254,Electronics,S00001,Smart Devices Inc,WH-04,150,42,252
INV000255,P00255,Office Chair 255,Furniture,S00011,Modern Furniture Co,WH-04,50,37,222
INV000256,P00256,Football 256,Sports,S00017,SportMax,WH-04,230,68,408
INV000257,P00257,Bed Frame 257,Furniture,S00012,WoodCraft Ltd,WH-04,53,34,204
INV000258,P00258,Wireless Mouse 258,Electronics,S00001,Smart Devices Inc,WH-05,130,37,222
INV000259,P00259,Hoodie 259,Clothing,S00009,Cotton World,WH-05,152,83,498
INV000260,P00260,Wireless Mouse 260,Electronics,S00003,Smart Devices Inc,WH-04,168,45,270
INV000261,P00261,Casual Shirt 261,Clothing,S00008,Cotton World,WH-03,202,51,306
INV000262,P00262,Coffee Table 262,Furniture,S00011,Modern Furniture Co,WH-01,30,15,90
INV000263,P00263,Allergy Pills 263,Pharmacy,S00014,PharmaCare Inc,WH-02,352,122,732
INV000264,P00264,Cereal Box 264,Grocery,S00005,Daily Grocers,WH-05,876,293,1758
INV000265,P00265,Laptop Stand 265,Electronics,S00003,Smart Devices Inc,WH-03,144,47,282
INV000266,P00266,Notebook Pack 266,Office Supplies,S00022,Paper & Pens Co,WH-03,687,181,1086
INV000267,P00267,Gym Gloves 267,Sports,S00016,Active Gear,WH-02,187,63,378
INV000268,P00268,Stapler 268,Office Supplies,S00023,Business Essentials,WH-03,238,106,636
INV000269,P00269,Bluetooth Speaker 269,Electronics,S00002,TechSource Ltd,WH-03,109,33,198
INV000270,P00270,First Aid Kit 270,Pharmacy,S00015,PharmaCare Inc,WH-05,118,113,678
INV000271,P00271,Notebook 271,Books,S00019,Global Books,WH-02,163,120,720
INV000272,P00272,Tennis Racket 272,Sports,S00018,SportMax,WH-04,74,22,132
INV000273,P00273,Noise Cancelling Headphones 273,Electronics,S00003,Smart Devices Inc,WH-02,137,40,240
INV000274,P00274,Programming Guide 274,Books,S00021,Global Books,WH-04,204,83,498
INV000275,P00275,Cereal Box 275,Grocery,S00005,Daily Grocers,WH-01,548,143,858
INV000276,P00276,Stapler 276,Office Supplies,S00022,Paper & Pens Co,WH-02,147,72,432
INV000277,P00277,Basmati Rice 277,Grocery,S00005,Daily Grocers,WH-03,483,234,1404
INV000278,P00278,Programming Guide 278,Books,S00021,Global Books,WH-03,206,58,348
INV000279,P00279,Winter Jacket 279,Clothing,S00008,Cotton World,WH-05,390,107,642
INV000280,P00280,Storage Cabinet 280,Furniture,S00011,Modern Furniture Co,WH-05,87,33,198
INV000281,P00281,Denim Jeans 281,Clothing,S00008,Cotton World,WH-04,155,65,390
INV000282,P00282,Casual Shirt 282,Clothing,S00008,Cotton World,WH-03,140,62,372
INV000283,P00283,Stapler 283,Office Supplies,S00022,Paper & Pens Co,WH-02,321,198,1188
INV000284,P00284,Tennis Racket 284,Sports,S00017,SportMax,WH-05,44,29,174
INV000285,P00285,Cereal Box 285,Grocery,S00006,Daily Grocers,WH-02,264,170,1020
INV000286,P00286,Laptop Stand 286,Electronics,S00001,Smart Devices Inc,WH-03,172,49,294
INV000287,P00287,Smart Watch 287,Electronics,S00003,Smart Devices Inc,WH-05,91,24,144
INV000288,P00288,Cereal Box 288,Grocery,S00005,Daily Grocers,WH-02,320,218,1308
INV000289,P00289,USB-C Charger 289,Electronics,S00002,TechSource Ltd,WH-03,61,32,192
INV000290,P00290,Notebook Pack 290,Office Supplies,S00022,Paper & Pens Co,WH-01,319,165,990
INV000291,P00291,Dumbbell Set 291,Sports,S00018,SportMax,WH-02,197,61,366
INV000292,P00292,Noise Cancelling Headphones 292,Electronics,S00002,TechSource Ltd,WH-01,59,48,288
INV000293,P00293,Running Shorts 293,Clothing,S00009,Cotton World,WH-02,238,89,534
INV000294,P00294,Water Bottle 294,Sports,S00018,SportMax,WH-01,185,60,360
INV000295,P00295,Tennis Racket 295,Sports,S00016,Active Gear,WH-03,209,63,378
